index,Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
77,2018/2019,AL,Ultimate Frisbee,0.0,0.0,0.0,0.0
78,2018/2019,AL,Unified Flag Football,0.0,0.0,0.0,0.0
79,2018/2019,AL,Unified Track and Field -- Outdoor,0.0,0.0,0.0,0.0
80,2018/2019,AL,Volleyball,0.0,392.0,0.0,10310.0
81,2018/2019,AL,Water Polo,0.0,0.0,0.0,0.0
82,2018/2019,AL,Weight Lifting,0.0,0.0,0.0,0.0
83,2018/2019,AL,Wrestling,116.0,0.0,3080.0,0.0
84,2018/2019,AK,Adapted Basketball,0.0,0.0,0.0,0.0
85,2018/2019,AK,Adapted Bocce - Indoor,0.0,0.0,0.0,0.0
86,2018/2019,AK,Adapted Bowling,0.0,0.0,0.0,0.0
87,2018/2019,AK,Adapted Floor Hockey,0.0,0.0,0.0,0.0
88,2018/2019,AK,Adapted Football,0.0,0.0,0.0,0.0
89,2018/2019,AK,Adapted Soccer,0.0,0.0,0.0,0.0
90,2018/2019,AK,Adapted Softball,0.0,0.0,0.0,0.0
91,2018/2019,AK,Adapted Track,0.0,0.0,0.0,0.0
92,2018/2019,AK,Adapted Volleyball,0.0,0.0,0.0,0.0
93,2018/2019,AK,Adaptive Corn Toss,0.0,0.0,0.0,0.0
94,2018/2019,AK,Adaptive Golf,0.0,0.0,0.0,0.0
95,2018/2019,AK,Adaptive Handball,0.0,0.0,0.0,0.0
96,2018/2019,AK,Adaptive Strength Training,0.0,0.0,0.0,0.0
97,2018/2019,AK,Adaptive Tennis,0.0,0.0,0.0,0.0
98,2018/2019,AK,Air Riflery,0.0,0.0,0.0,0.0
99,2018/2019,AK,Archery,0.0,0.0,0.0,0.0
100,2018/2019,AK,Badminton,0.0,0.0,0.0,0.0
101,2018/2019,AK,Baseball,25.0,2.0,717.0,16.0
102,2018/2019,AK,Basketball,120.0,113.0,1920.0,1513.0
103,2018/2019,AK,Bass Fishing,0.0,0.0,0.0,0.0
104,2018/2019,AK,Beach Volleyball,0.0,0.0,0.0,0.0
105,2018/2019,AK,Bocce - Outdoor,0.0,0.0,0.0,0.0
106,2018/2019,AK,Bowling,8.0,8.0,110.0,110.0
107,2018/2019,AK,Canoe Paddling,0.0,32.0,6.0,154.0
108,2018/2019,AK,Competitive Spirit* (Boys who cheer/Girls who cheer),10.0,18.0,25.0,209.0
109,2018/2019,AK,Crew,0.0,0.0,0.0,0.0
110,2018/2019,AK,Cross Country,83.0,80.0,1003.0,791.0
111,2018/2019,AK,Cycling,0.0,0.0,0.0,0.0
112,2018/2019,AK,Dance,0.0,0.0,0.0,0.0
113,2018/2019,AK,Dance/Drill,2.0,2.0,2.0,3.0
114,2018/2019,AK,"Dance Team, High Kick",0.0,0.0,0.0,0.0
115,2018/2019,AK,"Dance Team, Jazz",0.0,3.0,0.0,50.0
116,2018/2019,AK,Decathlon,0.0,0.0,0.0,0.0
117,2018/2019,AK,Drill Team,0.0,0.0,0.0,0.0
118,2018/2019,AK,Equestrian,0.0,0.0,0.0,0.0
119,2018/2019,AK,Fencing,0.0,0.0,0.0,0.0
120,2018/2019,AK,Field Hockey,0.0,0.0,0.0,0.0
121,2018/2019,AK,Figure Skating,0.0,0.0,0.0,0.0
122,2018/2019,AK,Flag Football,0.0,13.0,0.0,475.0
123,2018/2019,AK,Football -- 11-Player,30.0,10.0,1564.0,52.0
124,2018/2019,AK,Football -- 6-player,0.0,0.0,0.0,0.0
125,2018/2019,AK,Football -- 8-player,0.0,0.0,0.0,0.0
126,2018/2019,AK,Football -- 9-player,0.0,0.0,0.0,0.0
127,2018/2019,AK,Golf,0.0,0.0,0.0,0.0
128,2018/2019,AK,Gymnastics,0.0,9.0,0.0,103.0
129,2018/2019,AK,Heptathlon,0.0,0.0,0.0,0.0
130,2018/2019,AK,Ice Hockey,24.0,12.0,614.0,40.0
131,2018/2019,AK,Judo,0.0,0.0,0.0,0.0
132,2018/2019,AK,Kayaking,0.0,0.0,0.0,0.0
133,2018/2019,AK,Lacrosse,0.0,0.0,0.0,0.0
134,2018/2019,AK,Martial Arts,0.0,0.0,0.0,0.0
135,2018/2019,AK,Mixed 6-Coed Volleyball,62.0,62.0,327.0,600.0
136,2018/2019,AK,Mt. Biking,0.0,0.0,0.0,0.0
137,2018/2019,AK,Native Youth Olympics,0.0,0.0,0.0,0.0
138,2018/2019,AK,Riflery,12.0,8.0,140.0,56.0
139,2018/2019,AK,Rock Climbing,0.0,0.0,0.0,0.0
140,2018/2019,AK,Rodeo,0.0,0.0,0.0,0.0
141,2018/2019,AK,Roller Hockey,0.0,0.0,0.0,0.0
142,2018/2019,AK,Rugby,0.0,0.0,0.0,0.0
143,2018/2019,AK,Rythmic Gymnastics,0.0,0.0,0.0,0.0
144,2018/2019,AK,Sailing,0.0,0.0,0.0,0.0
145,2018/2019,AK,Sand Volleyball,0.0,0.0,0.0,0.0
146,2018/2019,AK,Skiing -- Alpine,0.0,0.0,0.0,0.0
147,2018/2019,AK,Skiing -- Cross Country,20.0,18.0,582.0,324.0
148,2018/2019,AK,Snowboarding,0.0,0.0,0.0,0.0
149,2018/2019,AK,Soccer,40.0,37.0,929.0,960.0
150,2018/2019,AK,Softball -- Fast Pitch,1.0,28.0,2.0,767.0
151,2018/2019,AK,Softball -- Slow Pitch,0.0,0.0,0.0,0.0
152,2018/2019,AK,Soft Tennis,0.0,0.0,0.0,0.0
153,2018/2019,AK,Squash,0.0,0.0,0.0,0.0
154,2018/2019,AK,Surfing,0.0,0.0,0.0,0.0
155,2018/2019,AK,Swimming & Diving,30.0,31.0,398.0,466.0
156,2018/2019,AK,Synchronized Swimming,0.0,0.0,0.0,0.0
157,2018/2019,AK,Team Tennis,0.0,0.0,0.0,0.0
158,2018/2019,AK,Tennis,19.0,19.0,205.0,225.0
159,2018/2019,AK,Track and Field -- Indoor,0.0,0.0,0.0,0.0
160,2018/2019,AK,Track and Field -- Outdoor,48.0,45.0,1225.0,961.0
161,2018/2019,AK,Trap Shooting,0.0,0.0,0.0,0.0
162,2018/2019,AK,Ultimate Frisbee,0.0,0.0,0.0,0.0
163,2018/2019,AK,Unified Flag Football,0.0,0.0,0.0,0.0
164,2018/2019,AK,Unified Track and Field -- Outdoor,0.0,0.0,0.0,0.0
165,2018/2019,AK,Volleyball,68.0,106.0,327.0,1907.0
166,2018/2019,AK,Water Polo,0.0,0.0,0.0,0.0
167,2018/2019,AK,Weight Lifting,0.0,0.0,0.0,0.0
168,2018/2019,AK,Wrestling,98.0,69.0,1249.0,347.0
169,2018/2019,AZ,Adapted Basketball,0.0,0.0,0.0,0.0
170,2018/2019,AZ,Adapted Bocce - Indoor,0.0,0.0,0.0,0.0
171,2018/2019,AZ,Adapted Bowling,0.0,0.0,0.0,0.0
172,2018/2019,AZ,Adapted Floor Hockey,0.0,0.0,0.0,0.0
173,2018/2019,AZ,Adapted Football,0.0,0.0,0.0,0.0
174,2018/2019,AZ,Adapted Soccer,0.0,0.0,0.0,0.0
175,2018/2019,AZ,Adapted Softball,0.0,0.0,0.0,0.0
176,2018/2019,AZ,Adapted Track,0.0,0.0,0.0,0.0
177,2018/2019,AZ,Adapted Volleyball,0.0,0.0,0.0,0.0
178,2018/2019,AZ,Adaptive Corn Toss,0.0,0.0,0.0,0.0
179,2018/2019,AZ,Adaptive Golf,0.0,0.0,0.0,0.0
180,2018/2019,AZ,Adaptive Handball,0.0,0.0,0.0,0.0
181,2018/2019,AZ,Adaptive Strength Training,0.0,0.0,0.0,0.0
182,2018/2019,AZ,Adaptive Tennis,0.0,0.0,0.0,0.0
183,2018/2019,AZ,Air Riflery,0.0,0.0,0.0,0.0
184,2018/2019,AZ,Archery,0.0,0.0,0.0,0.0
185,2018/2019,AZ,Badminton,0.0,71.0,0.0,1412.0
186,2018/2019,AZ,Baseball,240.0,11.0,7509.0,18.0
187,2018/2019,AZ,Basketball,260.0,259.0,8219.0,6322.0
188,2018/2019,AZ,Bass Fishing,0.0,0.0,0.0,0.0
189,2018/2019,AZ,Beach Volleyball,0.0,0.0,0.0,0.0
190,2018/2019,AZ,Bocce - Outdoor,0.0,0.0,0.0,0.0
191,2018/2019,AZ,Bowling,0.0,0.0,0.0,0.0
192,2018/2019,AZ,Canoe Paddling,0.0,0.0,0.0,0.0
193,2018/2019,AZ,Competitive Spirit* (Boys who cheer/Girls who cheer),94.0,212.0,322.0,6098.0
194,2018/2019,AZ,Crew,0.0,0.0,0.0,0.0
195,2018/2019,AZ,Cross Country,237.0,236.0,3507.0,2687.0
196,2018/2019,AZ,Cycling,0.0,0.0,0.0,0.0
197,2018/2019,AZ,Dance,0.0,0.0,0.0,0.0
198,2018/2019,AZ,Dance/Drill,0.0,0.0,0.0,0.0
199,2018/2019,AZ,"Dance Team, High Kick",0.0,0.0,0.0,0.0
200,2018/2019,AZ,"Dance Team, Jazz",0.0,0.0,0.0,0.0
201,2018/2019,AZ,Decathlon,0.0,0.0,0.0,0.0
202,2018/2019,AZ,Drill Team,0.0,0.0,0.0,0.0
203,2018/2019,AZ,Equestrian,0.0,0.0,0.0,0.0
204,2018/2019,AZ,Fencing,0.0,0.0,0.0,0.0
205,2018/2019,AZ,Field Hockey,0.0,0.0,0.0,0.0
206,2018/2019,AZ,Figure Skating,0.0,0.0,0.0,0.0
207,2018/2019,AZ,Flag Football,0.0,0.0,0.0,0.0
208,2018/2019,AZ,Football -- 11-Player,209.0,47.0,16498.0,79.0
209,2018/2019,AZ,Football -- 6-player,0.0,0.0,0.0,0.0
210,2018/2019,AZ,Football -- 8-player,25.0,6.0,1974.0,9.0
211,2018/2019,AZ,Football -- 9-player,0.0,0.0,0.0,0.0
212,2018/2019,AZ,Golf,195.0,116.0,1634.0,988.0
213,2018/2019,AZ,Gymnastics,0.0,0.0,0.0,0.0
214,2018/2019,AZ,Heptathlon,0.0,0.0,0.0,0.0
